1;Australia;Austria;Belgium;Brazil;Canada;Chile;Taipei;Finland;France;Germany;Greece;Ireland;Italy;Japan;Korea;Mexico;Netherlands;Panama;Spain;Sweden;Switzerland;Turkey;UK;US
Australia;0;313;1921;496;9175;253;9946;825;15735;9635;128;3743;334;27235;6786;967;571;141;1782;1183;2805;246;93259;102848
Austria;592;0;1477;304;886;25;7;1049;7267;3587;175;908;5435;69;352;107;4465;80;3278;992;6448;974;9079;8493
Belgium;1446;948;0;208;2041;66;19;457;20333;753;22;13601;6696;758;90;166;227;84;7558;517;1382;851;15308;10354
Brazil;83;1419;153;0;726;32368;42;10;2765;1221;4;44;929;154;93;461;3116;1153;865;88;12695;72;17173;27699
Canada;19778;1271;2323;0;0;0;0;1935;2237;24702;0;19531;388;31109;950;0;1157;0;1773;67;2656;1617;11586;918421
Chile;5;0;2;813;24;0;0;0;252;65;0;0;4;96;34;256;45;150;11;0;40;18;723;7025
Taipei;12815;430;151;231;3403;377;0;124;515;3351;0;707;195;3108;4232;237;4296;5216;223;671;1232;528;12056;54591
Finland;327;499;1169;0;2305;0;0;0;2817;3662;0;0;0;87;0;0;2096;0;22;4078;38;0;1879;151
France;25805;14217;180795;23236;24022;2075;11322;8656;0;144878;1725;3777;276433;139276;1544;748;110429;2479;10133;14728;68792;37413;193767;424725
Germany;25271;50683;25735;7952;29687;1656;3247;18752;147511;0;24423;41162;78692;29199;9414;4426;97767;3259;65909;32333;62285;14101;33635;427974
Greece;39;247;367;0;53;0;0;192;660;1441;0;189;325;33;0;0;230;722;126;51;497;245;8198;662
Ireland;552;124;1012;12;123;0;0;397;4017;662;23;0;1313;21;0;39;174;0;2106;105;234;144;56345;6328
Italy;1732;7637;7358;1192;2192;136;7;796;38709;172263;564;7515;0;2873;286;1103;175;621;45716;1439;12203;13278;42902;36602
Japan;12538;4945;28258;28568;68449;8413;2652;3865;167177;9781;254;43737;28706;0;46882;21805;87333;34999;21253;21579;27138;1256;187742;1503931
Korea;4426;150;360;2262;2643;409;1388;66;16;3116;330;994;398;1126;0;2774;801;6162;302;195;1142;1308;4557;29069
Mexico;0;0;0;5;295;40;0;   ;66;517;0;0;0;368;0;0;87;13;204;14;32;0;102;6284
Netherlands;59555;11278;0;15635;12018;0;0;8948;72471;147588;1182;10283;25601;7134;0;2522;0;896;3591;5844;20253;0;82471;168514
Panama;17;25;10;912;599;238;0;0;24;259;0;18;4;174;13;1246;38;0;0;23;361;3;246;7426
Spain;0;0;5584;160828;0;0;0;0;47571;0;0;0;51868;0;0;139002;15467;0;0;0;6863;0;357143;25242
Sweden;1054;572;3663;162;3068;441;8;115039;759;33511;0;635;712;1125;376;708;8947;21;1997;0;3186;775;42368;63649
Switzerland;11488;8879;5674;4496;19568;152;8012;4185;59762;75816;3602;10802;16491;22686;6783;5116;26983;7634;9626;8696;0;55;19135;478126
Turkey;9;208;290;0;10;0;0;1;760;237;40;852;119;29;1;0;993;25;35;6;190;0;3805;2518
UK;47096;5043;8488;11981;84288;3787;43353;8606;130941;149475;5901;77921;20433;127091;57395;27431;86153;1297;1999;12356;50554;1843;0;704289
US;84279;13081;20638;70859;111231;1009;42559;9241;173542;210198;9713;71937;40482;373379;69506;84444;67665;473;32068;20256;47564;17266;409819;0
